epoch,accuracy,loss,val_accuracy,val_loss
0,0.51,2.39,0.53,0.68
1,0.55,0.68,0.62,0.65
2,0.55,0.68,0.57,0.69
3,0.60,0.65,0.62,0.65
4,0.59,0.66,0.50,0.69
5,0.53,0.68,0.50,0.69
6,0.57,0.67,0.62,0.64
7,0.52,0.69,0.50,0.69
8,0.50,0.69,0.50,0.69
9,0.50,0.69,0.50,0.69
10,0.50,0.69,0.50,0.69
11,0.50,0.69,0.50,0.69
12,0.50,0.69,0.50,0.69
13,0.50,0.69,0.50,0.69
14,0.50,0.69,0.50,0.69
15,0.50,0.69,0.50,0.69
16,0.50,0.69,0.50,0.69
17,0.50,0.69,0.50,0.69
18,0.50,0.69,0.50,0.69
19,0.50,0.69,0.50,0.69
20,0.50,0.69,0.50,0.69
21,0.50,0.69,0.50,0.69
22,0.50,0.69,0.50,0.69
23,0.50,0.69,0.50,0.69
24,0.50,0.69,0.50,0.69
25,0.50,0.69,0.50,0.69
26,0.50,0.69,0.50,0.69
27,0.50,0.69,0.50,0.69
28,0.50,0.69,0.50,0.69
29,0.50,0.69,0.50,0.69
